pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
HAT-P-28 b,0.04337,13.585,202.45771,1.1,1.02,401.319
HAT-P-28 b,0.0434,13.585,198.953,1.1,1.02,401.319
HAT-P-29 b,0.0665,11.926,243.77561,1.24,1.2,313.576
HAT-P-29 b,0.0667,12.408,247.261,1.22,1.21,313.576
HAT-P-29 b,0.06669,12.408,214.85308,1.22,1.21,313.576
HAT-P-3 b,0.03878,10.211,189.10885,0.85,0.93,134.554
HAT-P-3 b,0.03842,10.615,185.61272,0.87,0.9,134.554
HAT-P-3 b,0.03882,10.077,189.42668,0.83,0.93,134.554
HAT-P-3 b,0.03866,9.27,187.83,0.8,0.92,134.554
HAT-P-3 b,0.03899,10.077,193.55847,0.83,0.93,134.554
HAT-P-3 b,0.03894,9.976,190.38017,0.82,0.94,134.554
HAT-P-30 b,0.0419,15.02,237.10118,1.22,1.24,213.985
HAT-P-30 b,0.0419,15.02,225.968,1.22,1.24,213.985
HAT-P-31 b,0.061,11.994,682.38101,1.36,1.22,344.05
HAT-P-31 b,0.055,11.99,689.98,1.36,1.22,344.05
HAT-P-32 b,0.0343,20.053,273.322,1.22,1.16,289.205
HAT-P-32 b,0.03427,20.053,238.3725,1.22,1.16,289.205
HAT-P-32 b,0.03397,22.194,216.1244,1.37,1.13,289.205
HAT-P-33 b,0.0499,18.898,242.176,1.64,1.38,396.11
HAT-P-33 b,0.04995,18.898,209.7678,1.64,1.38,396.11
HAT-P-34 b,0.06774,13.417,1058.3739,1.53,1.39,249.325
HAT-P-34 b,0.0677,13.417,1057.694,1.53,1.39,249.325
HAT-P-35 b,0.0498,14.93,334.979,1.44,1.24,506.965
HAT-P-35 b,0.04978,14.93,335.62848,1.44,1.24,506.965
HAT-P-36 b,0.02382,14.168,587.9855,1.1,1.02,294.419
HAT-P-36 b,0.02388,14.617,588.62116,1.04,1.03,294.419
HAT-P-36 b,0.0241,14.314,587.41341,1.04,1.03,294.419
HAT-P-36 b,0.0238,14.168,582.24,1.1,1.02,294.419
HAT-P-36 b,0.02402,15.211,611.82275,1.11,1.05,294.419
HAT-P-37 b,0.03793,13.204,381.396,0.88,0.93,390.594
HAT-P-37 b,0.0379,13.204,371.528,0.88,0.93,390.594
HAT-P-38 b,0.05231,9.247,84.86061,0.92,0.89,255.206
